,0,1,2
0,0,100008,Spiral
1,1,100023,Bar Spiral
2,2,100053,Elliptical
3,3,100078,Elliptical
4,4,100090,Elliptical
5,5,100122,Elliptical
6,6,100123,Irregular
7,7,100128,Elliptical
8,8,100134,Spiral
9,9,100143,Spiral
10,10,100150,Lenticular
11,11,100157,Irregular
12,12,100187,Bar Spiral
13,13,100204,Irregular
14,14,100237,Spiral
15,15,100259,Lenticular
16,16,100263,Irregular
17,17,100288,Elliptical
18,18,100295,Elliptical
19,19,100322,Spiral
20,20,100335,Spiral
21,21,100367,Spiral
22,22,100380,Bar Spiral
23,23,100382,Spiral
24,24,100383,Bar Spiral
25,25,100402,Elliptical
26,26,100428,Elliptical
27,27,100434,Elliptical
28,28,100444,Elliptical
29,29,100445,Irregular
30,30,100458,Irregular
31,31,100474,Spiral
32,32,100479,Elliptical
33,33,100506,Lenticular
34,34,100513,Irregular
35,35,100520,Irregular
36,36,100541,Lenticular
37,37,100561,Irregular
38,38,100571,Irregular
39,39,100601,Elliptical
40,40,100623,Spiral
41,41,100672,Elliptical
42,42,100673,Spiral
43,43,100724,Elliptical
44,44,100727,Elliptical
45,45,100730,Elliptical
46,46,100740,Elliptical Cigar
47,47,100744,Elliptical
48,48,100765,Spiral
49,49,100774,Elliptical
50,50,100801,Spiral
51,51,100813,Spiral
52,52,100821,Spiral
53,53,100822,Spiral
54,54,100836,Spiral
55,55,100852,Elliptical
56,56,100859,Spiral
57,57,100861,Elliptical
58,58,100867,Elliptical
59,59,100887,Elliptical
60,60,100894,Lenticular
61,61,100938,Elliptical
62,62,100951,Spiral
63,63,100986,Spiral
64,64,101007,Spiral
65,65,101061,Elliptical
66,66,101074,Bar Spiral
67,67,101092,Elliptical
68,68,101127,Spiral
69,69,101133,Spiral
70,70,101135,Elliptical Cigar
71,71,101140,Bar Spiral
72,72,101151,Elliptical
73,73,101164,Elliptical
74,74,101166,Spiral
75,75,101181,Spiral
76,76,101232,Spiral
77,77,101239,Lenticular
78,78,101244,Spiral
79,79,101246,Elliptical
80,80,101247,Elliptical
81,81,101251,Elliptical
82,82,101275,Bar Spiral
83,83,101283,Elliptical
84,84,101286,Elliptical
85,85,101290,Elliptical
86,86,101291,Elliptical
87,87,101296,Elliptical
88,88,101298,Bar Spiral
89,89,101306,Irregular
90,90,101307,Bar Spiral
91,91,101315,Spiral
92,92,101324,Spiral
93,93,101325,Irregular
94,94,101355,Spiral
95,95,101358,Irregular
96,96,101371,Irregular
97,97,101374,Spiral
98,98,101375,Lenticular
99,99,101427,Bar Spiral
100,100,101469,Spiral
101,101,101493,Lenticular
102,102,101501,Irregular
103,103,101502,Irregular
104,104,101518,Elliptical
105,105,101538,Elliptical
106,106,101548,Elliptical
107,107,101549,Spiral
108,108,101563,Spiral
109,109,101564,Spiral
110,110,101572,Elliptical
111,111,101589,Irregular
112,112,101591,Irregular
113,113,101595,Spiral
114,114,101597,Irregular
115,115,101599,Elliptical
116,116,101623,Elliptical
117,117,101627,Elliptical
118,118,101651,Elliptical
119,119,101654,Irregular
120,120,101660,Spiral
121,121,101666,Irregular
122,122,101685,Spiral
123,123,101695,Elliptical
124,124,101701,Bar Spiral
125,125,101718,Spiral
126,126,101754,Elliptical
127,127,101756,Bar Spiral
128,128,101762,Spiral
129,129,101774,Spiral
130,130,101787,Spiral
131,131,101788,Spiral
132,132,101798,Irregular
133,133,101804,Spiral
134,134,101807,Spiral
135,135,101816,Elliptical
136,136,101848,Spiral
137,137,101854,Elliptical
138,138,101858,Elliptical Cigar
139,139,101875,Elliptical
140,140,101893,Spiral
141,141,101941,Bar Spiral
142,142,101943,Elliptical
143,143,101955,Spiral
144,144,101971,Elliptical
145,145,101980,Spiral
146,146,101991,Spiral
