,Label,ImgName
0,Spiral,100008.jpg
1,Bar Spiral,100023.jpg
2,Elliptical,100053.jpg
3,Elliptical,100078.jpg
4,Elliptical,100090.jpg
5,Elliptical,100122.jpg
6,Irregular,100123.jpg
7,Elliptical,100128.jpg
8,Spiral,100134.jpg
9,Spiral,100143.jpg
10,Lenticular,100150.jpg
11,Irregular,100157.jpg
12,Bar Spiral,100187.jpg
13,Irregular,100204.jpg
14,Spiral,100237.jpg
15,Lenticular,100259.jpg
16,Irregular,100263.jpg
17,Elliptical,100288.jpg
18,Elliptical,100295.jpg
19,Spiral,100322.jpg
20,Spiral,100335.jpg
21,Spiral,100367.jpg
22,Bar Spiral,100380.jpg
23,Spiral,100382.jpg
24,Bar Spiral,100383.jpg
25,Elliptical,100402.jpg
26,Elliptical,100428.jpg
27,Elliptical,100434.jpg
28,Elliptical,100444.jpg
29,Irregular,100445.jpg
30,Irregular,100458.jpg
31,Spiral,100474.jpg
32,Elliptical,100479.jpg
33,Lenticular,100506.jpg
34,Irregular,100513.jpg
35,Irregular,100520.jpg
36,Lenticular,100541.jpg
37,Irregular,100561.jpg
38,Irregular,100571.jpg
39,Elliptical,100601.jpg
40,Spiral,100623.jpg
41,Elliptical,100672.jpg
42,Spiral,100673.jpg
43,Elliptical,100724.jpg
44,Elliptical,100727.jpg
45,Elliptical,100730.jpg
46,Elliptical Cigar,100740.jpg
47,Elliptical,100744.jpg
48,Spiral,100765.jpg
49,Elliptical,100774.jpg
50,Spiral,100801.jpg
51,Spiral,100813.jpg
52,Spiral,100821.jpg
53,Spiral,100822.jpg
54,Spiral,100836.jpg
55,Elliptical,100852.jpg
56,Spiral,100859.jpg
57,Elliptical,100861.jpg
58,Elliptical,100867.jpg
59,Elliptical,100887.jpg
60,Lenticular,100894.jpg
61,Elliptical,100938.jpg
62,Spiral,100951.jpg
63,Spiral,100986.jpg
64,Spiral,101007.jpg
65,Elliptical,101061.jpg
66,Bar Spiral,101074.jpg
67,Elliptical,101092.jpg
68,Spiral,101127.jpg
69,Spiral,101133.jpg
70,Elliptical Cigar,101135.jpg
71,Bar Spiral,101140.jpg
72,Elliptical,101151.jpg
73,Elliptical,101164.jpg
74,Spiral,101166.jpg
75,Spiral,101181.jpg
76,Spiral,101232.jpg
77,Lenticular,101239.jpg
78,Spiral,101244.jpg
79,Elliptical,101246.jpg
80,Elliptical,101247.jpg
81,Elliptical,101251.jpg
82,Bar Spiral,101275.jpg
83,Elliptical,101283.jpg
84,Elliptical,101286.jpg
85,Elliptical,101290.jpg
86,Elliptical,101291.jpg
87,Elliptical,101296.jpg
88,Bar Spiral,101298.jpg
89,Irregular,101306.jpg
90,Bar Spiral,101307.jpg
91,Spiral,101315.jpg
92,Spiral,101324.jpg
93,Irregular,101325.jpg
94,Spiral,101355.jpg
95,Irregular,101358.jpg
96,Irregular,101371.jpg
97,Spiral,101374.jpg
98,Lenticular,101375.jpg
99,Bar Spiral,101427.jpg
100,Spiral,101469.jpg
101,Lenticular,101493.jpg
102,Irregular,101501.jpg
103,Irregular,101502.jpg
104,Elliptical,101518.jpg
105,Elliptical,101538.jpg
106,Elliptical,101548.jpg
107,Spiral,101549.jpg
108,Spiral,101563.jpg
109,Spiral,101564.jpg
110,Elliptical,101572.jpg
111,Irregular,101589.jpg
112,Irregular,101591.jpg
113,Spiral,101595.jpg
114,Irregular,101597.jpg
115,Elliptical,101599.jpg
116,Elliptical,101623.jpg
117,Elliptical,101627.jpg
118,Elliptical,101651.jpg
119,Irregular,101654.jpg
120,Spiral,101660.jpg
121,Irregular,101666.jpg
122,Spiral,101685.jpg
123,Elliptical,101695.jpg
124,Bar Spiral,101701.jpg
125,Spiral,101718.jpg
126,Elliptical,101754.jpg
127,Bar Spiral,101756.jpg
128,Spiral,101762.jpg
129,Spiral,101774.jpg
130,Spiral,101787.jpg
131,Spiral,101788.jpg
132,Irregular,101798.jpg
133,Spiral,101804.jpg
134,Spiral,101807.jpg
135,Elliptical,101816.jpg
136,Spiral,101848.jpg
137,Elliptical,101854.jpg
138,Elliptical Cigar,101858.jpg
139,Elliptical,101875.jpg
140,Spiral,101893.jpg
141,Bar Spiral,101941.jpg
142,Elliptical,101943.jpg
143,Spiral,101955.jpg
144,Elliptical,101971.jpg
145,Spiral,101980.jpg
