id,GalaxyID,Label
1,511937,Elliptical Cigar
2,511947,Elliptical
3,511989,Bar Spiral
4,512022,Spiral
5,512038,Irregular
6,512051,Spiral
7,512072,Elliptical
8,512081,Spiral
9,512091,Elliptical
10,512094,Irregular
11,512134,Elliptical
12,512136,Elliptical
13,512146,Elliptical
14,512150,Bar Spiral
15,512157,Bar Spiral
16,512162,Irregular
17,512168,Elliptical
18,512188,Spiral
19,512201,Spiral
20,512256,Elliptical
21,512265,Elliptical
22,512270,Lenticular
23,512290,Irregular
24,512307,Elliptical
25,512312,Elliptical
26,512333,Lenticular
27,512358,Lenticular
28,512369,Irregular
29,512377,Irregular
30,512381,Lenticular
31,512395,Elliptical
32,512397,Elliptical
33,512418,Elliptical
34,512454,Elliptical
35,512456,Irregular
36,512481,Elliptical
37,512498,Spiral
38,512503,Elliptical
39,512512,Elliptical
40,512551,Spiral
41,512571,Bar Spiral
42,512650,Lenticular
43,512651,Lenticular
44,512657,Spiral
45,512687,Lenticular
46,512717,Irregular
47,512753,Spiral
48,512757,Spiral
49,512830,Spiral
50,512836,Irregular
51,512843,Irregular
52,512860,Elliptical
53,512864,Elliptical
54,512879,Elliptical
55,512893,Irregular
56,512924,Elliptical
57,512925,Spiral
58,512945,Irregular
59,512977,Spiral
60,512996,Elliptical
61,513003,Irregular
62,513052,Spiral
63,513089,Spiral
64,513109,Spiral
65,513114,Irregular
66,513118,Elliptical
67,513120,Irregular
68,513127,Spiral
69,513142,Irregular
70,513193,Lenticular
71,513198,Elliptical
72,513238,Bar Spiral
73,513242,Elliptical
74,513243,Elliptical
75,513245,Elliptical
76,513256,Elliptical
77,513266,Elliptical
78,513300,Irregular
79,513301,Lenticular
80,513302,Spiral
81,513304,Elliptical
82,513309,Spiral
83,513320,Spiral
84,513348,Spiral
85,513360,Elliptical
86,513378,Spiral
87,513382,Irregular
88,513411,Elliptical
89,513420,Elliptical
90,513431,Elliptical
91,513451,Lenticular
92,513458,Spiral
93,513466,Elliptical
94,513513,Elliptical
95,513520,Bar Spiral
96,513543,Spiral
97,513546,Bar Spiral
98,513554,Spiral
99,513556,Irregular
100,513594,Lenticular
101,513625,Elliptical
102,513628,Spiral
103,513641,Irregular
104,513685,Bar Spiral
105,513689,Elliptical
106,513694,Elliptical
107,513748,Elliptical
108,513758,Elliptical
109,513780,Irregular
110,513818,Elliptical
111,513830,Elliptical
112,513849,Elliptical
113,513863,Irregular
114,513879,Elliptical
115,513903,Bar Spiral
116,513904,Elliptical
117,513924,Spiral
118,513933,Bar Spiral
119,513944,Lenticular
120,513953,Spiral
121,513998,Spiral
122,514012,Elliptical
123,514014,Spiral
124,514035,Bar Spiral
125,514039,Lenticular
126,514047,Elliptical
127,514048,Spiral
128,514050,Lenticular
129,514060,Spiral
130,514064,Irregular
131,514108,Spiral
132,514109,Bar Spiral
133,514110,Bar Spiral
134,514112,Spiral
135,514136,Spiral
136,514148,Lenticular
137,514157,Spiral
138,514158,Spiral
139,514160,Elliptical Cigar
140,514166,Spiral
141,514169,Bar Spiral
142,514182,Elliptical
143,514188,Elliptical
144,514195,Lenticular
145,514198,Spiral
146,514228,Irregular
147,514241,Elliptical
148,514252,Elliptical
149,514258,Spiral
150,514273,Lenticular
151,514288,Irregular
152,514298,Elliptical
153,514299,Elliptical
154,514301,Irregular
155,514325,Elliptical
156,514327,Spiral
157,514345,Spiral
158,514347,Spiral
159,514355,Spiral
160,514359,Spiral
161,514365,Elliptical
162,514369,Elliptical
163,514392,Spiral
164,514405,Elliptical
165,514406,Irregular
166,514407,Elliptical
167,514413,Elliptical
168,514415,Spiral
169,514422,Lenticular
170,514424,Elliptical
171,514443,Elliptical
172,514455,Spiral
173,514479,Spiral
174,514511,Irregular
175,514516,Lenticular
176,514523,Spiral
177,514526,Elliptical
178,514579,Spiral
179,514612,Spiral
180,514624,Spiral
181,514628,Irregular
182,514637,Lenticular
183,514659,Irregular
184,514669,Elliptical
185,514696,Bar Spiral
186,514701,Irregular
187,514730,Irregular
188,514762,Spiral
189,514764,Elliptical
190,514775,Spiral
191,514776,Spiral
192,514781,Elliptical
193,514802,Bar Spiral
194,514803,Elliptical
195,514810,Elliptical
196,514846,Elliptical
197,514847,Spiral
198,514853,Irregular
199,514864,Irregular
200,514879,Spiral
201,514893,Spiral
202,514899,Elliptical
203,514920,Spiral
204,514930,Elliptical
205,514931,Spiral
206,514943,Lenticular
207,514957,Elliptical
208,514987,Irregular
209,514989,Spiral
210,515036,Spiral
211,515044,Lenticular
212,515060,Irregular
213,515098,Elliptical
214,515102,Elliptical
215,515105,Spiral
216,515107,Irregular
217,515124,Irregular
218,515131,Elliptical
219,515133,Lenticular
220,515154,Elliptical
221,515168,Spiral
222,515198,Elliptical
223,515204,Spiral
224,515226,Spiral
225,515236,Spiral
226,515240,Elliptical
227,515249,Elliptical
228,515260,Spiral
229,515261,Bar Spiral
230,515284,Elliptical
231,515293,Irregular
232,515300,Spiral
233,515354,Irregular
234,515370,Elliptical
235,515386,Elliptical
236,515388,Elliptical
237,515401,Elliptical
238,515407,Spiral
239,515418,Bar Spiral
240,515437,Lenticular
241,515441,Elliptical
242,515443,Irregular
243,515500,Elliptical
244,515503,Irregular
245,515510,Elliptical
246,515519,Spiral
247,515534,Elliptical
248,515553,Bar Spiral
249,515556,Spiral
250,515594,Spiral
251,515600,STAR
252,515607,Bar Spiral
253,515608,Spiral
254,515623,Spiral
255,515631,Elliptical
256,515634,Spiral
257,515684,Elliptical
258,515691,Elliptical
259,515728,Elliptical
260,515744,Spiral
261,515754,Spiral
262,515771,Irregular
263,515774,Spiral
264,515795,Elliptical
265,515817,Spiral
266,515818,Elliptical
267,515822,Bar Spiral
268,515840,Spiral
269,515861,STAR
270,515864,Spiral
271,515909,Irregular
272,515911,Spiral
273,515924,Bar Spiral
274,515929,Spiral
275,515947,Spiral
276,515971,Elliptical
277,515978,Elliptical
278,516016,Spiral
279,516017,Bar Spiral
280,516030,Irregular
281,516051,Spiral
282,516064,Spiral
283,516070,Spiral
284,516140,Bar Spiral
285,516158,Spiral
286,516159,Elliptical
287,516162,Lenticular
288,516174,Elliptical
289,516183,Spiral
290,516184,Bar Spiral
291,516188,Elliptical
292,516193,Bar Spiral
293,516204,Spiral
294,516226,Elliptical
295,516248,Spiral
296,516271,Elliptical
297,516275,Lenticular
298,516276,Elliptical
299,516309,STAR
300,516322,Bar Spiral
301,516335,Spiral
302,516351,Spiral
303,516360,Bar Spiral
304,516382,Elliptical
305,516385,Bar Spiral
306,516387,Spiral
307,516397,Elliptical
308,516405,Lenticular
309,516411,Elliptical
310,516417,Spiral
311,516425,Irregular
312,516453,Bar Spiral
313,516465,Elliptical
314,516472,Elliptical
315,516497,Spiral
316,516498,Irregular
317,516508,Elliptical
318,516518,Elliptical
319,516530,Elliptical
320,516574,Elliptical
321,516579,Bar Spiral
322,516591,Bar Spiral
323,516617,Spiral
324,516632,Elliptical
325,516648,Elliptical
326,516654,Elliptical Cigar
327,516678,Elliptical
328,516693,Bar Spiral
329,516714,Spiral
330,516719,Elliptical
331,516745,Spiral
332,516747,Bar Spiral
333,516751,Irregular
334,516759,Elliptical
335,516785,Spiral
336,516792,Elliptical
337,516796,Bar Spiral
338,516808,Bar Spiral
339,516815,Elliptical
340,516838,Spiral
341,516839,Elliptical
342,516850,Irregular
343,516851,Elliptical Cigar
344,516856,Spiral
345,516857,Elliptical
346,516858,Bar Spiral
347,516895,Spiral
348,516900,Spiral
349,516949,Elliptical
350,516988,Elliptical
351,517012,Elliptical
352,517019,Spiral
353,517026,Elliptical
354,517038,Spiral
355,517045,Spiral
356,517059,Bar Spiral
357,517069,Irregular
358,517075,Spiral
359,517084,Spiral
360,517088,Spiral
361,517130,Spiral
362,517132,Spiral
363,517141,Spiral
364,517158,Spiral
365,517162,Irregular
366,517190,Spiral
367,517216,Elliptical
368,517233,Irregular
369,517250,Spiral
370,517264,Elliptical
371,517270,Spiral
372,517278,Spiral
373,517283,Elliptical
374,517317,Elliptical
375,517340,Spiral
376,517357,Spiral
377,517358,Spiral
378,517395,Elliptical
379,517410,Irregular
380,517442,Elliptical
381,517455,Spiral
382,517461,Spiral
383,517465,Spiral
384,517466,Lenticular
385,517493,Elliptical
386,517496,Spiral
387,517502,Irregular
388,517511,Spiral
389,517522,Elliptical
390,517528,Bar Spiral
391,517549,Elliptical
392,517550,Elliptical
393,517558,Spiral
394,517579,Spiral
395,517603,Elliptical
396,517611,Spiral
397,517613,Bar Spiral
398,517625,Elliptical
399,517631,Elliptical Cigar
400,517641,Irregular
401,517692,Elliptical
402,517724,Lenticular
403,517735,Bar Spiral
404,517743,Elliptical
405,517744,Bar Spiral
406,517765,Spiral
407,517771,Elliptical
408,517794,Elliptical
409,517810,Irregular
410,517839,Elliptical
411,517841,Elliptical
412,517870,Spiral
413,517872,Irregular
414,517903,Bar Spiral
415,517923,Spiral
416,518005,Spiral
417,518008,Elliptical
418,518020,Bar Spiral
419,518039,Spiral
420,518059,Spiral
421,518070,Elliptical
422,518080,Spiral
423,518097,Bar Spiral
424,518108,Elliptical
425,518111,Irregular
426,518122,Elliptical
427,518132,Elliptical
428,518140,Spiral
429,518151,Irregular
430,518178,Elliptical
431,518186,Elliptical
432,518210,Spiral
433,518239,Irregular
434,518252,Spiral
435,518269,Spiral
436,518297,Irregular
437,518305,Bar Spiral
438,518310,Elliptical
439,518335,Irregular
440,518367,Spiral
441,518413,Elliptical
442,518448,Elliptical
443,518455,Spiral
444,518483,Bar Spiral
445,518489,Spiral
446,518507,Elliptical
447,518511,Elliptical
448,518527,Elliptical
449,518531,Spiral
450,518569,Elliptical
451,518579,Elliptical
452,518592,Irregular
453,518593,Spiral
454,518614,Irregular
455,518618,Lenticular
456,518630,Bar Spiral
457,518654,Elliptical
458,518656,Irregular
459,518673,Elliptical Cigar
460,518678,Elliptical
461,518685,Lenticular
462,518704,Elliptical
463,518724,Irregular
464,518726,Lenticular
465,518731,Spiral
466,518740,Elliptical Cigar
467,518741,Bar Spiral
468,518746,Lenticular
469,518752,Spiral
470,518763,Bar Spiral
471,518775,Elliptical
472,518777,Spiral
473,518798,Elliptical
474,518835,Elliptical
475,518858,Elliptical
476,518867,Bar Spiral
477,518892,Bar Spiral
478,518899,Spiral
479,518938,Elliptical
480,518977,Irregular
481,518978,Elliptical
482,518995,Spiral
483,518999,Elliptical
484,519001,Elliptical
485,519048,Elliptical
486,519050,Spiral
487,519051,Spiral
488,519077,Irregular
489,519081,Elliptical
490,519083,Elliptical
491,519093,Spiral
492,519105,Irregular
493,519108,Bar Spiral
494,519129,Spiral
